;name;address;e-mail;site;telephone;e_mail
0;Chez l'Gros;42 rue de la Vicomte, 76000, Rouen France;;https://www.facebook.com/ChezLGros/;tel:+33 2 32 83 57 23;
1;La Rose des Sables;113 Place Beauvoisine, 76000, Rouen France;;http://www.facebook.com/rose.dessables.50596;tel:+33 2 27 08 37 54;
2;Rodolphe;35 rue Perciere, 76000, Rouen France;;http://www.restaurant-rodolphe.com/;tel:+33 2 35 73 32 58;mailto:reservation@restaurant-rodolphe.com?subject=?
3;Alba Restaurant;236 rue Martainville, 76000, Rouen France;;http://www.alba-restaurant.fr/;tel:+33 9 87 36 44 24;mailto:alba-restaurant@outlook.fr?subject=?
4;Arkose Rouen;181 quai du cours la Reine, 76100, Rouen France;;http://rouen.arkose.com/;tel:+33 2 90 87 01 50;mailto:contactrouen@arkose.com?subject=?
5;La Maison Turque;36 rue Cauchoise, 76000, Rouen France;;http://www.facebook.com/La-Maison-Turque-1014592178605630/;tel:+33 2 35 89 90 60;mailto:la.maison.turque@gmail.com?subject=?
6;Listo;170 rue Martainville, 76000, Rouen France;;https://www.facebook.com/Listoempanadas/;tel:+33 2 35 07 45 76;
7;La Marmite;3 rue de Florence Proximité Place Du Vieux Marché, 76000, Rouen France;;http://www.lamarmiterouen.com;tel:+33 2 35 71 75 55;mailto:lamarmite@aol.com?subject=?
8;Gill;8 quai de la Bourse, 76000, Rouen France;;http://www.gill.fr/en/;tel:+33 2 35 71 16 14;mailto:gill@gill.fr?subject=?
9;Le P'tit Zinc;20 Place du Vieux Marche 20 Place du Vieux Marché, 76000, Rouen France;;http://www.restaurant76.fr;tel:+33 2 35 89 39 69;
10;La Creperie Rouennaise;Rue du Pere Adam, 76000, Rouen France;;https://www.facebook.com/creperierouennaise/?ref=py_c;tel:+33 2 35 71 04 10;
11;Sous la Toque D'olivier;604 rue de l Eglise Next The Church, 76230 Isneauville, Rouen France;;http://souslatoquedolivier.fr/;tel:+33 2 35 61 96 93;
12;La Petite Auberge;164 rue Martainville, 76000, Rouen France;;http://www.restaurant-petite-auberge.fr/;tel:+33 2 35 70 80 18;
13;Les Beaux Arts;34 rue Damiette, 76000, Rouen France;;http://www.restaurant-des-beaux-arts.com;tel:+33 2 35 70 17 15;
14;Shalimar;Rue de la Chaine, 76000, Rouen France;;http://www.shalimar-restaurant-rouen.fr;tel:+33 2 35 73 17 86;
15;Verrines et Sens;154 rue Eau de Robec, 76000, Rouen France;;http://www.facebook.com/Verrines-et-Sens-ROUEN-168586197288180/;tel:+33 2 35 36 70 11;
16;P'tit Gars;37 rue aux Ours, 76000, Rouen France;;http://www.facebook.com/restaurantptitgars/?fref=ts;tel:+33 2 35 89 97 58;
17;L'Oritano;8 Place de la Pucelle D Orleans, 76000, Rouen France;;http://www.facebook.com/loritano.rouen;tel:+33 9 86 15 26 90;mailto:loritano.rouen@gmail.com?subject=?
